Molecule;State;TCC;x1;y1;z1;x2;y2;z2;NICS(0);NICS_zz(0);NICS(1);NICS_zz(1)
13H-Dibenzo[a h]fluorene;0;1;7.7331;-22.6087;-0.1504;7.7331;-22.6087;-1.1504;-1.917;-34.056;1.771;-3.141
13H-Dibenzo[a h]fluorene;0;1;9.7329;-23.5768;-0.1504;9.7329;-23.5768;-1.1504;8.755;7.061;10.569;24.652
13H-Dibenzo[a h]fluorene;0;1;11.7721;-22.2053;-0.1504;11.7721;-22.2053;-1.1504;9.329;10.102;11.004;26.681
13H-Indeno[1 2-b]anthracene;0;1;2.6946;-26.8514;-0.0001;2.6946;-26.8514;-1.0001;9.048;9.512;10.77;26.035
13H-Indeno[1 2-b]anthracene;0;1;5.1176;-26.451;-0.0003;5.1176;-26.451;-1.0003;12.162;16.793;13.484;33.174
13H-Indeno[1 2-b]anthracene;0;1;7.5348;-26.0488;-0.0006;7.5348;-26.0488;-1.0006;8.564;5.893;10.332;23.68
13H-Indeno[1 2-b]anthracene;0;1;9.7168;-25.6816;-0.001;9.7168;-25.6816;-1.001;-1.393;-31.307;2.21;-1.49
13H-Indeno[1 2-b]anthracene;0;1;11.6781;-26.7078;-0.001;11.6781;-26.7078;-1.001;8.555;8.106;10.178;24.608
5H-Dibenzo[c mn]phenanthrene;0;1;11.0496;-0.4585;-0.111;11.0496;-0.4585;-1.111;8.419;7.9;9.486;20.719
5H-Dibenzo[c mn]phenanthrene;0;1;13.4813;-0.2324;0.14;13.4813;-0.2324;1.14;10.572;11.963;12.495;29.503
5H-Dibenzo[c mn]phenanthrene;0;1;15.9259;-0.1026;0.1308;15.9259;-0.1026;1.1308;8.714;7.932;10.313;23.137
5H-Dibenzo[c mn]phenanthrene;0;1;14.5988;1.9453;-0.221;14.5988;1.9453;-1.221;-5.484;-33.209;0.12;-11.153
5H-Dibenzo[c mn]phenanthrene;0;1;13.4527;4.067;0.26211;13.4527;4.067;1.26211;7.937;5.842;10.2;20.1
8H-Dibenzo[b mn]phenanthrene;0;1;11.4491;-6.8165;0.0291;11.4491;-6.8165;1.0291;7.867;5.71;9.605;22.202
8H-Dibenzo[b mn]phenanthrene;0;1;13.9149;-6.4992;0.2075;13.9149;-6.4992;1.2075;-5.217;-36.112;-1.604;-10.63
8H-Dibenzo[b mn]phenanthrene;0;1;16.3772;-6.1962;0.0456;16.3772;-6.1962;1.0456;9.892;10.691;11.454;27.179
8H-Dibenzo[b mn]phenanthrene;0;1;14.9147;-4.2214;0.1381;14.9147;-4.2214;1.1381;5.35;-4.497;7.892;16.081
8H-Dibenzo[b mn]phenanthrene;0;1;15.8411;-1.9322;0.0978;15.8411;-1.9322;1.0978;9.38;10.176;11.083;26.702
13H-Dibenzo[b mn]phenanthrene;0;1;11.3087;-10.9828;-0.1593;11.3087;-10.9828;-1.1593;9.455;10.173;11.117;26.815
13H-Dibenzo[b mn]phenanthrene;0;1;13.7646;-11.0194;-0.1627;13.7646;-11.0194;-1.1627;11.691;14.497;13.056;31.506
13H-Dibenzo[b mn]phenanthrene;0;1;16.2139;-11.0991;-0.1689;16.2139;-11.0991;-1.1689;6.813;1.271;9.04;20.138
13H-Dibenzo[b mn]phenanthrene;0;1;15.0782;-8.8873;-0.1739;15.0782;-8.8873;-1.1739;-5.867;-38.992;-1.682;-12.499
13H-Dibenzo[b mn]phenanthrene;0;1;16.4091;-6.7747;-0.1576;16.4091;-6.7747;-1.1576;7.679;4.91;9.488;22.19
7H-Dibenz[a kl]anthracene;0;1;11.5822;-13.8929;-0.3384;11.5822;-13.8929;-1.3384;9.56;11.045;10.442;22.845
7H-Dibenz[a kl]anthracene;0;1;12.323;-16.1827;0.137;12.323;-16.1827;1.137;8.226;5.897;9.422;23.314
7H-Dibenz[a kl]anthracene;0;1;14.7381;-16.807;0.1455;14.7381;-16.807;1.1455;-5.569;-35.538;-1.669;-10.739
7H-Dibenz[a kl]anthracene;0;1;16.53;-15.1241;0.2732;16.53;-15.1241;1.2732;7.792;5.242;10.088;22.429
7H-Dibenz[a kl]anthracene;0;1;17.0894;-17.4151;-0.3552;17.0894;-17.4151;-1.3552;9.489;9.541;11.555;24.355
4H-Dibenz[a kl]anthracene;0;1;-4.8033;3.43995;-0.2021;-4.8033;3.43995;-1.2021;9.949;12.211;10.55;23.355
4H-Dibenz[a kl]anthracene;0;1;-3.9175;1.1807;0.1655;-3.9175;1.1807;1.1655;7.522;3.943;9.441;21.758
4H-Dibenz[a kl]anthracene;0;1;-1.4995;0.6597;0.0428;-1.4995;0.6597;1.0428;5.842;-2.047;8.777;17.857
4H-Dibenz[a kl]anthracene;0;1;0.2302;2.386;0.2407;0.2302;2.386;1.2407;9.745;10.694;12.305;28.96
4H-Dibenz[a kl]anthracene;0;1;0.8919;0.0383;-0.1895;0.8919;0.0383;-1.1895;-5.71;-35.975;-1.577;-12.304
1H-Dibenz[a kl]anthracene;0;1;-5.3795;-1.6789;-0.0993;-5.3795;-1.6789;-1.0993;10.86;14.577;11.744;27.623
1H-Dibenz[a kl]anthracene;0;1;-3.8379;-3.5983;0.0487;-3.8379;-3.5983;1.0487;4.714;-4.685;7.319;14.847
1H-Dibenz[a kl]anthracene;0;1;-1.3759;-3.4228;-0.0803;-1.3759;-3.4228;-1.0803;11.363;13.807;13.135;31.347
1H-Dibenz[a kl]anthracene;0;1;-0.1625;-1.2525;0.0793;-0.1625;-1.2525;1.0793;-5.338;-35.282;-0.95;-9.597
1H-Dibenz[a kl]anthracene;0;1;1.0832;-3.3745;-0.0926;1.0832;-3.3745;-1.0926;8.315;6.109;10.39;23.933
4H-Benzo[hi]chrysene;0;1;-5.4553;-9.4597;-0.1955;-5.4553;-9.4597;-1.1955;9.997;12.017;11.599;28.479
4H-Benzo[hi]chrysene;0;1;-4.2332;-7.3197;-0.1948;-4.2332;-7.3197;-1.1948;7.57;2.938;9.797;21.945
4H-Benzo[hi]chrysene;0;1;-1.7521;-7.2489;-0.1921;-1.7521;-7.2489;-1.1921;5.868;-3.354;8.429;17.361
4H-Benzo[hi]chrysene;0;1;-0.5353;-5.108;-0.1948;-0.5353;-5.108;-1.1948;9.776;10.224;11.371;27.346
4H-Benzo[hi]chrysene;0;1;0.7294;-7.2389;-0.1946;0.7294;-7.2389;-1.1946;-5.734;-36.787;-1.77;-11.773
7H-Benzo[hi]chrysene;0;1;-5.4679;-13.9934;-0.0018;-5.4679;-13.9934;-1.0018;9.554;10.569;11.18;27.01
7H-Benzo[hi]chrysene;0;1;-4.1915;-11.8951;0.0094;-4.1915;-11.8951;1.0094;7.77;3.695;9.828;22.184
7H-Benzo[hi]chrysene;0;1;-1.6857;-11.9104;-0.0364;-1.6857;-11.9104;-1.0364;-6.273;-40.172;-1.949;-13.618
7H-Benzo[hi]chrysene;0;1;-0.4165;-9.7722;-0.0281;-0.4165;-9.7722;-1.0281;7.651;3.885;9.705;22.108
7H-Benzo[hi]chrysene;0;1;0.8059;-11.8872;0.0243;0.8059;-11.8872;1.0243;9.572;9.767;11.161;26.789
Benzo[l]cyclopenta[cd]pyrene;0;1;-5.4262;-17.1563;0.0105;-5.4262;-17.1563;1.0105;8.736;8.024;10.592;25.404
Benzo[l]cyclopenta[cd]pyrene;0;1;-2.963;-17.2942;0.008;-2.963;-17.2942;1.008;0.926;-18.254;4.668;5.567
Benzo[l]cyclopenta[cd]pyrene;0;1;-0.4966;-17.4142;-0.0038;-0.4966;-17.4142;-1.0038;4.42;-7.688;7.081;13.181
Benzo[l]cyclopenta[cd]pyrene;0;1;-1.5692;-15.2557;-0.0486;-1.5692;-15.2557;-1.0486;9.437;8.02;11.224;26.172
Benzo[l]cyclopenta[cd]pyrene;0;1;0.6006;-15.5365;-0.0594;0.6006;-15.5365;-1.0594;-4.024;-38.278;0.057;-8.704
Benzo[l]cyclopenta[cd]pyrene;0;1;-1.7859;-19.4762;0.0514;-1.7859;-19.4762;1.0514;10.276;11.81;11.993;29.152
Indeno[5 6 7 1-defg]chrysene;0;1;-5.7169;-22.1275;-0.0817;-5.7169;-22.1275;-1.0817;10.082;12.271;11.627;28.235
Indeno[5 6 7 1-defg]chrysene;0;1;-3.2666;-22.071;-0.1078;-3.2666;-22.071;-1.1078;9.693;7.608;11.596;25.986
Indeno[5 6 7 1-defg]chrysene;0;1;-0.8485;-22.1501;-0.1257;-0.8485;-22.1501;-1.1257;2.573;-12.897;5.458;7.573
Indeno[5 6 7 1-defg]chrysene;0;1;-1.9765;-19.9784;0.1057;-1.9765;-19.9784;1.1057;6.001;-1.763;8.521;18.618
Indeno[5 6 7 1-defg]chrysene;0;1;0.4774;-20.116;0.0833;0.4774;-20.116;1.0833;10.75;13.611;12.277;29.972
Indeno[5 6 7 1-defg]chrysene;0;1;-2.0918;-23.9218;-0.3151;-2.0918;-23.9218;-1.3151;-4.093;-38.814;-0.047;-9.811
Benzo[def]cyclopenta[qr]chrysene;0;1;1.5667;0.389;-0.1552;1.5667;0.389;-1.1552;10.132;12.542;11.746;28.285
Benzo[def]cyclopenta[qr]chrysene;0;1;4.0164;0.4049;-0.0133;4.0164;0.4049;-1.0133;9.833;9.018;11.721;27.253
Benzo[def]cyclopenta[qr]chrysene;0;1;6.4787;0.3585;0.114;6.4787;0.3585;1.114;2.427;-12.129;5.591;9.939
Benzo[def]cyclopenta[qr]chrysene;0;1;5.2879;2.4958;-0.1186;5.2879;2.4958;-1.1186;5.277;-5.174;7.894;14.949
Benzo[def]cyclopenta[qr]chrysene;0;1;7.6986;2.4852;0.0018;7.6986;2.4852;1.0018;9.806;9.426;11.498;27.206
Benzo[def]cyclopenta[qr]chrysene;0;1;6.504;4.3027;-0.203;6.504;4.3027;-1.203;-4.405;-39.006;-0.201;-10.038
Cyclopenta[cd]perylene;0;1;3.4094;-6.0504;0.0387;3.4094;-6.0504;1.0387;7.528;3.839;9.583;21.686
Cyclopenta[cd]perylene;0;1;4.8866;-4.0704;-0.0176;4.8866;-4.0704;-1.0176;-4.882;-35.284;-0.29;-9.434
Cyclopenta[cd]perylene;0;1;6.3882;-2.1033;-0.0878;6.3882;-2.1033;-1.0878;5.815;-2.781;8.069;17.062
Cyclopenta[cd]perylene;0;1;7.3509;-4.3043;0.0234;7.3509;-4.3043;1.0234;5.841;-2.628;8.106;16.676
Cyclopenta[cd]perylene;0;1;8.5372;-2.4752;-0.042;8.5372;-2.4752;-1.042;-1.859;-31.848;1.886;-2.967
Cyclopenta[cd]perylene;0;1;2.4288;-3.8115;-0.0441;2.4288;-3.8115;-1.0441;7.494;3.749;9.564;21.953
Indeno[1 7 6 5-cdef]chrysene;0;1;1.021;-9.4382;0.0442;1.021;-9.4382;1.0442;10.091;12.547;11.776;29.014
Indeno[1 7 6 5-cdef]chrysene;0;1;3.4608;-9.1766;0.0159;3.4608;-9.1766;1.0159;9.808;9.006;11.722;27.129
Indeno[1 7 6 5-cdef]chrysene;0;1;5.8935;-8.9849;-0.0222;5.8935;-8.9849;-1.0222;2.288;-14.021;5.324;7.549
Indeno[1 7 6 5-cdef]chrysene;0;1;8.0526;-8.7317;-0.0566;8.0526;-8.7317;-1.0566;-3.869;-37.746;0.257;-8.206
Indeno[1 7 6 5-cdef]chrysene;0;1;4.5244;-6.9447;0.0697;4.5244;-6.9447;1.0697;5.954;-2.199;8.541;18.355
Indeno[1 7 6 5-cdef]chrysene;0;1;6.9742;-6.8264;0.0303;6.9742;-6.8264;1.0303;10.467;11.42;12.02;28.926
Indeno[1 7-ab]pyrene;0;1;1.5223;-12.3785;0.256;1.5223;-12.3785;1.256;8.036;4.984;9.767;23.002
Indeno[1 7-ab]pyrene;0;1;3.9237;-12.6858;0.0649;3.9237;-12.6858;1.0649;8.607;4.323;10.63;23.396
Indeno[1 7-ab]pyrene;0;1;6.3258;-13.1512;-0.1485;6.3258;-13.1512;-1.1485;2.416;-11.866;5.714;9.031
Indeno[1 7-ab]pyrene;0;1;5.5209;-10.8215;0.0023;5.5209;-10.8215;1.0023;6.597;0.216;9.193;20.335
Indeno[1 7-ab]pyrene;0;1;7.9184;-11.2842;-0.2152;7.9184;-11.2842;-1.2152;11.629;16.192;13.115;31.784
Indeno[1 7-ab]pyrene;0;1;2.4814;-14.3258;0.1174;2.4814;-14.3258;1.1174;-4.876;-41.248;-0.77;-11.051
Indeno[1 2 3-cd]pyrene;0;1;2.44;-18.8158;0.1208;2.44;-18.8158;1.1208;6.748;2.166;8.565;19.717
Indeno[1 2 3-cd]pyrene;0;1;4.4719;-17.9879;0.0604;4.4719;-17.9879;1.0604;-4.945;-42.042;-0.195;-10.355
Indeno[1 2 3-cd]pyrene;0;1;6.61;-18.4171;-0.0082;6.61;-18.4171;-1.0082;4.431;-7.8;7.173;13.52
Indeno[1 2 3-cd]pyrene;0;1;9.0167;-18.7881;-0.0997;9.0167;-18.7881;-1.0997;11.516;15.973;12.987;31.88
Indeno[1 2 3-cd]pyrene;0;1;5.7055;-16.175;0.0144;5.7055;-16.175;1.0144;10.936;12.508;12.468;30.124
Indeno[1 2 3-cd]pyrene;0;1;8.1372;-16.492;-0.0687;8.1372;-16.492;-1.0687;4.678;-5.372;7.561;15.018
Indeno[1 2 3-cd]fluoranthene;0;1;9.7949;-21.8801;-0.0773;9.7949;-21.8801;-1.0773;4.949;-3.123;7.024;15.086
Indeno[1 2 3-cd]fluoranthene;0;1;7.6023;-21.8539;-0.0268;7.6023;-21.8539;-1.0268;-9.467;-54.664;-3.887;-21.637
Indeno[1 2 3-cd]fluoranthene;0;1;3.911;-21.8115;0.0377;3.911;-21.8115;1.0377;-9.368;-54.362;-3.802;-21.377
Indeno[1 2 3-cd]fluoranthene;0;1;1.7184;-21.7853;0.0862;1.7184;-21.7853;1.0862;4.892;-3.293;6.952;14.862
Indeno[1 2 3-cd]fluoranthene;0;1;5.7699;-20.6458;-0.0201;5.7699;-20.6458;-1.0201;4.348;-7.76;6.613;12.169
Indeno[1 2 3-cd]fluoranthene;0;1;5.7435;-23.0195;0.0313;5.7435;-23.0195;1.0313;4.567;-7.104;6.668;12.461
Phenanthro[10 1 2 3-cdef]fluorene;0;1;9.0431;0.2967;-0.2696;9.0431;0.2967;-1.2696;8.268;7.003;10.201;23.875
Phenanthro[10 1 2 3-cdef]fluorene;0;1;11.4899;0.4716;-0.1491;11.4899;0.4716;-1.1491;1.466;-15.644;4.756;5.899
Phenanthro[10 1 2 3-cdef]fluorene;0;1;13.9565;0.597;-0.0045;13.9565;0.597;-1.0045;-3.717;-31.048;0.225;-7.187
Phenanthro[10 1 2 3-cdef]fluorene;0;1;12.6231;2.6303;0.0616;12.6231;2.6303;1.0616;7.974;2.677;9.962;21.742
Phenanthro[10 1 2 3-cdef]fluorene;0;1;14.7864;2.5819;0.1866;14.7864;2.5819;1.1866;-6.165;-46.337;-1.7;-14.041
Phenanthro[10 1 2 3-cdef]fluorene;0;1;13.9996;4.6025;0.2857;13.9996;4.6025;1.2857;6.382;0.347;8.325;18.529
Indeno[6 7 1 2-defg]naphthacene;0;1;9.266;-3.7142;-0.6589;9.266;-3.7142;-1.6589;6.332;2.067;8.669;18.415
Indeno[6 7 1 2-defg]naphthacene;0;1;11.6527;-4.0287;-0.2581;11.6527;-4.0287;-1.2581;7.401;1.669;9.32;18.992
Indeno[6 7 1 2-defg]naphthacene;0;1;14.0202;-4.2303;0.1858;14.0202;-4.2303;1.1858;6.888;0.224;8.916;18.722
Indeno[6 7 1 2-defg]naphthacene;0;1;16.403;-4.1409;0.6715;16.403;-4.1409;1.6715;2.328;-10.324;5.237;9.587
Indeno[6 7 1 2-defg]naphthacene;0;1;13.0103;-2.3333;-0.0839;13.0103;-2.3333;-1.0839;-10.034;-57.016;-5.362;-24.394
Indeno[6 7 1 2-defg]naphthacene;0;1;15.1161;-2.062;0.3284;15.1161;-2.062;1.3284;-4.972;-33.155;-0.921;-10.234
Naphtho[4 5 6-abc]aceanthrylene;0;1;10.1002;-8.9663;-0.3601;10.1002;-8.9663;-1.3601;8.607;8.26;10.329;23.474
Naphtho[4 5 6-abc]aceanthrylene;0;1;12.5094;-9.2814;-0.1284;12.5094;-9.2814;-1.1284;10.016;9.166;11.497;26.172
Naphtho[4 5 6-abc]aceanthrylene;0;1;14.9317;-9.4879;0.0778;14.9317;-9.4879;1.0778;5.911;-2.067;8.279;17.81
Naphtho[4 5 6-abc]aceanthrylene;0;1;13.9177;-7.6286;-0.2809;13.9177;-7.6286;-1.2809;-7.98;-50.472;-2.715;-18.439
Naphtho[4 5 6-abc]aceanthrylene;0;1;16.0434;-7.3298;-0.1714;16.0434;-7.3298;-1.1714;7.347;2.057;9.552;20.953
Naphtho[4 5 6-abc]aceanthrylene;0;1;14.4394;-5.542;-0.5561;14.4394;-5.542;-1.5561;7.526;3.569;9.144;19.194
Indeno[3 2 1 7-defg]chrysene;0;1;11.6558;-14.9141;0.0869;11.6558;-14.9141;1.0869;7.836;4.506;9.637;21.834
Indeno[3 2 1 7-defg]chrysene;0;1;13.6724;-14.1219;0.1907;13.6724;-14.1219;1.1907;-6.107;-45.951;-1.02;-13.363
Indeno[3 2 1 7-defg]chrysene;0;1;15.828;-14.3428;0.2622;15.828;-14.3428;1.2622;7.627;3.45;9.42;21.445
Indeno[3 2 1 7-defg]chrysene;0;1;12.2096;-12.5472;0.1861;12.2096;-12.5472;1.1861;7.106;0.9;9.348;20.379
Indeno[3 2 1 7-defg]chrysene;0;1;14.6355;-12.2002;0.2839;14.6355;-12.2002;1.2839;3.658;-10.801;6.671;11.452
Indeno[3 2 1 7-defg]chrysene;0;1;15.7116;-10.0098;0.3829;15.7116;-10.0098;1.3829;9.551;10.608;11.213;27.496
Indeno[4 3 2 1-cdef]chrysene;0;1;10.3529;-18.3995;-0.115;10.3529;-18.3995;-1.115;9.511;10.773;11.152;26.893
Indeno[4 3 2 1-cdef]chrysene;0;1;12.7727;-18.0962;-0.0214;12.7727;-18.0962;-1.0214;5.67;-3.811;7.956;16.212
Indeno[4 3 2 1-cdef]chrysene;0;1;14.919;-17.7823;0.0386;14.919;-17.7823;1.0386;-6.627;-47.11;-1.457;-14.101
Indeno[4 3 2 1-cdef]chrysene;0;1;16.9725;-18.4704;0.1589;16.9725;-18.4704;1.1589;8.229;5.702;9.936;23.438
Indeno[4 3 2 1-cdef]chrysene;0;1;13.8714;-15.9131;-0.1381;13.8714;-15.9131;-1.1381;8.27;4.215;10.384;23.114
Indeno[4 3 2 1-cdef]chrysene;0;1;16.2969;-16.1358;-0.042;16.2969;-16.1358;-1.042;7.067;1.141;9.315;20.127
Benzo[ghi]perylene;0;1;14.9391;-24.2053;-0.000003;14.9391;-24.2053;-1.000003;11.279;14.814;12.852;31.703
Benzo[ghi]perylene;0;1;13.6797;-22.0825;-0.0000005;13.6797;-22.0825;-1.0000005;-1.484;-25.556;2.868;0.188
Benzo[ghi]perylene;0;1;12.4634;-19.9358;0.000006;12.4634;-19.9358;1.000006;5.635;-2.836;8.313;17.454
Benzo[ghi]perylene;0;1;16.1463;-22.0756;-0.00002;16.1463;-22.0756;-1.00002;5.838;-2.233;8.461;17.897
Benzo[ghi]perylene;0;1;14.9164;-19.9523;-0.00001;14.9164;-19.9523;-1.00001;12.205;16.677;13.707;33.696
Benzo[ghi]perylene;0;1;11.212;-22.04;0.00001;11.212;-22.04;1.00001;11.13;14.363;12.752;31.409
Dibenzo[def mno]chrysene;0;1;9.1818;-26.7903;0.00003;9.1818;-26.7903;1.00003;13.029;20.268;14.297;36.066
Dibenzo[def mno]chrysene;0;1;11.6248;-26.9799;0.00003;11.6248;-26.9799;1.00003;10.163;9.789;12.262;28.898
Dibenzo[def mno]chrysene;0;1;14.0716;-27.1683;0.00003;14.0716;-27.1683;1.00003;2.063;-13.489;5.483;8.818
Dibenzo[def mno]chrysene;0;1;10.5591;-24.758;0.000006;10.5591;-24.758;1.000006;2.406;-12.46;5.759;9.644
Dibenzo[def mno]chrysene;0;1;13.0058;-24.9463;0.000004;13.0058;-24.9463;1.000004;10.284;10.151;12.375;29.235
Dibenzo[def mno]chrysene;0;1;15.4489;-25.136;0.000005;15.4489;-25.136;1.000005;12.856;19.75;14.178;35.709
Dibenzo[c g]phenanthrene;0;1;-4.4357;-1.0824;-0.2315;-4.4357;-1.0824;-1.2315;9.616;10.303;9.782;16.983
Dibenzo[c g]phenanthrene;0;1;-2.1921;-0.4343;0.5063;-2.1921;-0.4343;1.5063;7.382;3.779;8.517;19.001
Dibenzo[c g]phenanthrene;0;1;-1.3435;1.8596;0.2152;-1.3435;1.8596;1.2152;7.456;5.218;9.861;22.165
Dibenzo[c g]phenanthrene;0;1;-2.8095;3.8165;-0.077;-2.8095;3.8165;-1.077;7.396;3.862;10.852;20.386
Dibenzo[c g]phenanthrene;0;1;-5.1425;3.8018;0.6683;-5.1425;3.8018;1.6683;9.649;10.325;12.384;25.218
Benzo[b]triphenylene;0;1;-6.6076;-3.7721;-0.0334;-6.6076;-3.7721;-1.0334;9.334;10.386;11.099;26.896
Benzo[b]triphenylene;0;1;-4.2015;-3.3082;-0.0053;-4.2015;-3.3082;-1.0053;10.433;11.185;12.171;28.948
Benzo[b]triphenylene;0;1;-1.7678;-2.8386;0.0145;-1.7678;-2.8386;1.0145;0.904;-17.739;4.609;5.323
Benzo[b]triphenylene;0;1;-0.1492;-4.6861;0.3535;-0.1492;-4.6861;1.3535;8.61;7.608;10.32;23.594
Benzo[b]triphenylene;0;1;-0.9493;-0.5194;-0.3037;-0.9493;-0.5194;-1.3037;8.609;7.634;10.75;25.719
Benzo[g]chrysene;0;1;-5.3467;-9.7375;0.275;-5.3467;-9.7375;1.275;9.778;11.84;12.478;29.953
Benzo[g]chrysene;0;1;-2.9082;-9.7026;0.0781;-2.9082;-9.7026;1.0781;7.398;3.732;9.998;21.867
Benzo[g]chrysene;0;1;-1.6172;-7.5886;0.2027;-1.6172;-7.5886;1.2027;3.317;-9.166;6.434;10.671
Benzo[g]chrysene;0;1;0.7686;-7.6591;0.8358;0.7686;-7.6591;1.8358;9.256;9.768;11.449;27.152
Benzo[g]chrysene;0;1;-2.6654;-5.4564;-0.4343;-2.6654;-5.4564;-1.4343;9.341;10.13;9.893;19.433
Dibenzo[b g]phenanthrene;0;1;-6.0923;-14.1204;-0.1683;-6.0923;-14.1204;-1.1683;9.488;10.911;10.958;25.741
Dibenzo[b g]phenanthrene;0;1;-3.6855;-14.5644;-0.0632;-3.6855;-14.5644;-1.0632;11.909;16.004;12.226;29.388
Dibenzo[b g]phenanthrene;0;1;-1.2856;-15.0489;-0.1227;-1.2856;-15.0489;-1.1227;5.626;-1.319;7.828;16.844
Dibenzo[b g]phenanthrene;0;1;0.4283;-13.2838;-0.3472;0.4283;-13.2838;-1.3472;8.12;5.692;10.591;21.597
Dibenzo[b g]phenanthrene;0;1;-0.024;-10.9339;0.1633;-0.024;-10.9339;1.1633;9.968;12.052;12.709;28.286
Benzo[c]chrysene;0;1;-5.4958;-20.8655;1.2968;-5.4958;-20.8655;2.2968;10.205;13.383;12.737;29.202
Benzo[c]chrysene;0;1;-3.2798;-21.4244;0.4174;-3.2798;-21.4244;1.4174;7.248;3.578;9.959;20.175
Benzo[c]chrysene;0;1;-1.6402;-19.6969;-0.2199;-1.6402;-19.6969;-1.2199;8.484;6.949;10.29;22.154
Benzo[c]chrysene;0;1;-2.3007;-17.3672;-0.6516;-2.3007;-17.3672;-1.6516;7.156;3.8;8.62;18.356
Benzo[c]chrysene;0;1;-0.6303;-15.6102;-1.0556;-0.6303;-15.6102;-2.0556;10.066;12.179;11.809;27.17
Dibenz[a j]anthracene;0;1;1.4067;-22.7374;-0.6807;1.4067;-22.7374;-1.6807;9.968;11.833;11.514;27.857
Dibenz[a j]anthracene;0;1;0.2363;-24.8907;-0.4616;0.2363;-24.8907;-1.4616;5.666;-1.835;8.189;17.389
Dibenz[a j]anthracene;0;1;-2.1796;-25.0086;0.0048;-2.1796;-25.0086;1.0048;11.387;13.72;12.983;30.392
Dibenz[a j]anthracene;0;1;-4.5902;-25.1697;0.4848;-4.5902;-25.1697;1.4848;5.669;-1.916;8.278;16.243
Dibenz[a j]anthracene;0;1;-6.0063;-23.1679;0.688;-6.0063;-23.1679;1.688;10.058;12.144;11.696;27.33
Pentaphene;0;1;9.6075;4.2419;-0.1754;9.6075;4.2419;-1.1754;9.647;11.362;11.335;27.852
Pentaphene;0;1;7.8907;2.4998;-0.0307;7.8907;2.4998;-1.0307;11.088;13.349;12.69;30.678
Pentaphene;0;1;6.1783;0.7306;0.0876;6.1783;0.7306;1.0876;2.558;-11.755;5.582;9.341
Pentaphene;0;1;3.7685;1.2439;0.146;3.7685;1.2439;1.146;11.097;13.366;12.591;30.38
Pentaphene;0;1;1.3683;1.7295;0.199;1.3683;1.7295;1.199;9.583;11.171;11.35;27.354
Benzo[a]naphthacene;0;1;0.2535;-2.7823;-0.032;0.2535;-2.7823;-1.032;8.738;8.58;10.516;25.201
Benzo[a]naphthacene;0;1;2.6958;-2.6293;-0.0056;2.6958;-2.6293;-1.0056;12.794;18.635;14.018;34.733
Benzo[a]naphthacene;0;1;5.1429;-2.4636;0.0091;5.1429;-2.4636;1.0091;11.236;13.637;12.748;30.745
Benzo[a]naphthacene;0;1;7.5993;-2.3132;0.0063;7.5993;-2.3132;1.0063;3.7;-8.251;6.517;11.979
Benzo[a]naphthacene;0;1;8.7739;-0.1493;0.1059;8.7739;-0.1493;1.1059;9.682;11.059;11.308;27.77
Dibenz[a h]anthracene;0;1;1.8614;-8.5628;0.402;1.8614;-8.5628;1.402;10.072;12.303;11.724;29.12
Dibenz[a h]anthracene;0;1;2.2558;-6.1455;0.1701;2.2558;-6.1455;1.1701;5.654;-2.292;8.269;17.29
Dibenz[a h]anthracene;0;1;4.5237;-5.2082;-0.0328;4.5237;-5.2082;-1.0328;11.389;13.828;12.997;31.182
Dibenz[a h]anthracene;0;1;6.7915;-4.2709;-0.2358;6.7915;-4.2709;-1.2358;5.681;-2.214;8.286;17.224
Dibenz[a h]anthracene;0;1;7.1858;-1.8536;-0.4677;7.1858;-1.8536;-1.4677;10.073;12.307;11.679;28.01
Benzo[b]chrysene;0;1;0.866;-3.7089;-0.5317;0.866;-3.7089;-1.5317;9.444;10.714;11.224;26.339
Benzo[b]chrysene;0;1;3.2365;-4.2655;-0.2719;3.2365;-4.2655;-1.2719;12.033;16.058;13.567;32.731
Benzo[b]chrysene;0;1;5.6129;-4.8393;0.0104;5.6129;-4.8393;1.0104;5.906;-1.79;8.512;17.817
Benzo[b]chrysene;0;1;7.3481;-3.0888;0.251;7.3481;-3.0888;1.251;8.047;4.508;10.185;22.783
Benzo[b]chrysene;0;1;9.7145;-3.6732;0.5595;9.7145;-3.6732;1.5595;10.054;12.266;11.686;29.031
Picene;0;1;1.4815;-12.4043;0.0324;1.4815;-12.4043;1.0324;10.097;12.38;11.748;29.081
Picene;0;1;3.9119;-12.079;-0.1514;3.9119;-12.079;-1.1514;7.469;2.793;9.784;21.4
Picene;0;1;4.9206;-9.8227;-0.118;4.9206;-9.8227;-1.118;8.539;5.599;10.73;24.791
Picene;0;1;7.3667;-9.5196;-0.3052;7.3667;-9.5196;-1.3052;7.523;2.965;9.787;21.301
Picene;0;1;8.3939;-7.2852;-0.2653;8.3939;-7.2852;10.2653;10.133;12.452;11.715;28.559
Pentacene;0;1;0.6729;-14.9375;-0.0014;0.6729;-14.9375;-1.0014;7.672;5.369;9.632;22.64
Pentacene;0;1;3.1199;-15.0049;0.0001;3.1199;-15.0049;1.0001;12.312;17.219;13.629;33.665
Pentacene;0;1;5.5707;-15.0714;0.0006;5.5707;-15.0714;1.0006;13.575;20.947;14.724;36.849
Pentacene;0;1;8.0215;-15.1379;0.0008;8.0215;-15.1379;1.0008;12.255;17.047;13.584;33.526
